acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),,050_m_f_n_a.png,O,space,7576,1,1,,,7004,NNB,A,0
0,prac,1,0.0,1-Back,0,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),141191.79999995232,063_y_f_n_a.png,O,z,1574,2,1,2359.2000000476837,138832.59999990463,7004,NNB,A,1
1,prac,1,1.0,1-Back,1,z,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),143296.5,063_y_f_n_a.png,O,z,1333,3,1,2092.2000000476837,141204.29999995232,7004,NNB,A,2
2,prac,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),145283.29999995232,053_o_m_n_a.png,O,m,1184,4,1,1975.7999999523163,143307.5,7004,NNB,A,3
3,prac,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),146970.59999990463,058_m_m_n_a.png,O,m,869,5,1,1676.1999999284744,145294.39999997616,7004,NNB,A,4
4,prac,1,1.0,1-Back,1,z,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),148590.0,058_m_m_n_a.png,O,z,845,6,1,1609.1000000238419,146980.89999997616,7004,NNB,A,5
5,prac,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),150694.89999997616,047_o_f_n_a.png,O,m,1262,7,1,2093.3000000715256,148601.59999990463,7004,NNB,A,6
6,prac,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),152463.29999995232,045_m_m_n_a.png,O,m,979,8,1,1757.1000000238419,150706.19999992847,7004,NNB,A,7
7,prac,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),154066.69999992847,050_m_f_n_a.png,O,m,843,9,1,1595.8999999761581,152470.79999995232,7004,NNB,A,8
8,prac,1,1.0,1-Back,1,z,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),155620.39999997616,050_m_f_n_a.png,O,z,784,10,1,1547.7000000476837,154072.69999992847,7004,NNB,A,9
9,prac,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),157373.19999992847,053_o_m_n_a.png,O,m,961,11,1,1740.6999999284744,155632.5,7004,NNB,A,10
10,prac,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),159210.79999995232,010_y_f_n_a.png,O,m,1011,12,1,1826.2999999523163,157384.5,7004,NNB,A,11
0,test,1,0.0,1-Back,,,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),159210.79999995232,063_y_f_n_a.png,O,space,13209,1,1,1826.2999999523163,157384.5,7004,NNB,A,0
1,test,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),182956.59999990463,043_m_f_n_a.png,O,m,657,2,1,1674.7999999523163,181281.79999995232,7004,NNB,A,1
2,test,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),184960.59999990463,010_y_f_n_a.png,O,m,970,3,1,1993.5999999046326,182967.0,7004,NNB,A,2
3,test,1,1.0,1-Back,1,z,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),186729.89999997616,010_y_f_n_a.png,O,z,735,4,1,1759.7000000476837,184970.19999992847,7004,NNB,A,3
4,test,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),188417.5,043_m_f_n_a.png,O,m,652,5,1,1679.0,186738.5,7004,NNB,A,4
5,test,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),190203.89999997616,053_o_m_n_a.png,O,m,759,6,1,1778.2000000476837,188425.69999992847,7004,NNB,A,5
6,test,1,1.0,1-Back,1,z,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),191906.59999990463,053_o_m_n_a.png,O,z,683,7,1,1691.7999999523163,190214.79999995232,7004,NNB,A,6
7,test,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),193811.0,058_m_m_n_a.png,O,m,868,8,1,1896.1000000238419,191914.89999997616,7004,NNB,A,7
8,test,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),195530.59999990463,047_o_f_n_a.png,O,m,684,9,1,1711.1999999284744,193819.39999997616,7004,NNB,A,8
9,test,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),197184.19999992847,058_m_m_n_a.png,O,m,627,10,1,1643.1999999284744,195541.0,7004,NNB,A,9
10,test,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),198921.39999997616,041_y_m_n_a.png,O,m,702,11,1,1727.8999999761581,197193.5,7004,NNB,A,10
11,test,1,1.0,1-Back,1,z,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),200507.0,041_y_m_n_a.png,O,z,566,12,1,1577.4000000953674,198929.59999990463,7004,NNB,A,11
12,test,1,0.0,1-Back,1,m,Wed Sep 04 2024 14:02:30 GMT-0500 (Central Daylight Time),202394.79999995232,044_o_f_n_a.png,O,m,851,13,1,1877.8999999761581,200516.89999997616,7004,NNB,A,12
