 acc_sum block  block_c  change condition correct correct_response                                                  datetime   endtime            face project response  response_time  row_sel session_number  start_end  starttime subject_id task task_vers  trial
       0  test        2     0.0    1-Back                          Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  347722.6 126_m_m_n_a.png       I    space           8167        1              1     2578.9   345143.7       8018  NNB         B      0
       1  test        2     0.0    1-Back       1                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  360135.5 029_m_f_n_a.png       I        m           1192        2              1     2211.5   357924.0       8018  NNB         B      1
       2  test        2     1.0    1-Back       1                z Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  362234.7 029_m_f_n_a.png       I        z           1082        3              1     2095.6   360139.1       8018  NNB         B      2
       3  test        2     0.0    1-Back       1                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  364584.0 126_m_m_n_a.png       I        m           1326        4              1     2345.7   362238.3       8018  NNB         B      3
       4  test        2     0.0    1-Back       1                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  366866.5 153_y_m_n_a.png       I        m           1249        5              1     2278.9   364587.6       8018  NNB         B      4
       5  test        2     0.0    1-Back       1                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  368949.3 152_y_f_n_a.png       I        m           1054        6              1     2078.7   366870.6       8018  NNB         B      5
       6  test        2     1.0    1-Back       1                z Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  370532.0 152_y_f_n_a.png       I        z            564        7              1     1579.4   368952.6       8018  NNB         B      6
       7  test        2     0.0    1-Back       1                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  372581.5 153_y_m_n_a.png       I        m           1021        8              1     2045.8   370535.7       8018  NNB         B      7
       8  test        2     0.0    1-Back       1                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  374497.7 110_o_f_n_a.png       I        m            884        9              1     1912.6   372585.1       8018  NNB         B      8
       9  test        2     0.0    1-Back       1                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  376430.3 178_m_m_n_a.png       I        m            903       10              1     1928.6   374501.7       8018  NNB         B      9
      10  test        2     1.0    1-Back       1                z Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  378279.6 178_m_m_n_a.png       I        z            827       11              1     1845.8   376433.8       8018  NNB         B     10
      11  test        2     0.0    1-Back       1                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  380179.2 110_o_f_n_a.png       I        m            881       12              1     1895.1   378284.1       8018  NNB         B     11
      11  test        2     0.0    1-Back       0                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  382528.4 086_o_f_n_a.png       I        z           1318       13              1     2345.4   380183.0       8018  NNB         B     12
      12  test        2     0.0    1-Back       1                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  384877.9 176_o_m_n_a.png       I        m           1321       14              1     2345.1   382532.8       8018  NNB         B     13
      13  test        2     0.0    1-Back       1                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  387060.2 065_o_m_n_a.png       I        m           1154       15              1     2179.0   384881.2       8018  NNB         B     14
      14  test        2     1.0    1-Back       1                z Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  388976.3 065_o_m_n_a.png       I        z            894       16              1     1912.2   387064.1       8018  NNB         B     15
      15  test        2     0.0    1-Back       1                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  390993.0 013_y_m_n_a.png       I        m            985       17              1     2012.8   388980.2       8018  NNB         B     16
      16  test        2     1.0    1-Back       1                z Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  393308.1 013_y_m_n_a.png       I        z           1296       18              1     2309.6   390998.5       8018  NNB         B     17
       0  test        3     1.0    1-Back                          Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  393308.1 173_y_f_n_a.png       I    space           3502        1              1     2309.6   390998.5       8018  NNB         B      0
       1  test        3     0.0    1-Back       1                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  400989.4 065_o_m_n_a.png       I        m           1029        1              1     2061.5   398927.9       8018  NNB         B      1
       2  test        3     1.0    1-Back       1                z Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  402939.0 065_o_m_n_a.png       I        z            932        1              1     1945.7   400993.3       8018  NNB         B      2
       3  test        3     0.0    1-Back       1                m Tue Jan 21 2025 18:04:28 GMT-0600 (Central Standard Time)  405037.9 097_m_f_n_a.png       I        m           1078        1              1     2095.1   402942.8       8018  NNB         B      3
